administration_date,supplier,region,age_range,males,females,first_dose,second_dose,previous_infection,additional_booster_dose,second_booster,NUTS1_code,NUTS2_code,ISTAT_regional_code,region_name
2020-12-27,Moderna,LAZ,40-49,0,1,1,0,0,0,0,ITI,ITI4,12,Lazio
2020-12-27,Moderna,SIC,90+,0,1,1,0,0,0,0,ITG,ITG1,19,Sicilia
2020-12-27,Pfizer/BioNTech,ABR,20-29,1,1,2,0,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,30-39,1,4,5,0,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,40-49,1,8,9,0,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,50-59,7,6,13,0,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,60-69,12,4,16,0,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,70-79,1,0,1,0,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,80-89,1,0,1,0,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,BAS,20-29,4,5,9,0,0,0,0,ITF,ITF5,17,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,30-39,10,18,28,0,0,0,0,ITF,ITF5,17,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,40-49,7,24,31,0,0,0,0,ITF,ITF5,17,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,50-59,11,15,26,0,0,0,0,ITF,ITF5,17,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,60-69,9,4,13,0,0,0,0,ITF,ITF5,17,Basilicata
2020-12-27,Pfizer/BioNTech,CAL,20-29,18,42,60,0,0,0,0,ITF,ITF6,18,Calabria
2020-12-27,Pfizer/BioNTech,CAL,30-39,25,25,50,0,0,0,0,ITF,ITF6,18,Calabria
2020-12-27,Pfizer/BioNTech,CAL,40-49,25,32,57,0,0,0,0,ITF,ITF6,18,Calabria
2020-12-27,Pfizer/BioNTech,CAL,50-59,57,31,88,0,0,0,0,ITF,ITF6,18,Calabria
